Layer,FPR-at-95%-TPR,AUROC,AUPR-out,AUPR-in,InD-correct,OOD-correct,Max-score-counts(ID/OOD)
1,94.17,56.09,58.85,53.56,9273.0,1670.0,4491/400
2,90.72,65.51,68.46,61.1,9676.0,1780.0,279/135
3,67.86,84.87,86.33,82.13,9428.0,5368.0,1213/991
4,76.66,77.91,79.32,74.98,9896.0,1836.0,51/674
5,86.63,69.91,71.38,66.28,9906.0,935.0,44/157
6,93.46,63.35,66.8,58.2,9918.0,895.0,36/149
7,96.43,53.52,57.42,50.28,9974.0,234.0,20/145
8,98.24,43.52,47.37,44.01,9887.0,140.0,73/3
9,94.3,52.07,49.76,51.79,9743.0,81.0,186/12
10,90.61,54.7,51.24,55.65,9572.0,252.0,439/24
11,71.42,73.91,67.85,74.26,8793.0,3110.0,831/86
12,82.8,83.49,83.95,76.79,8293.0,7733.0,910/3643
13,68.97,86.5,86.26,82.01,8190.0,8189.0,1427/3581
Best layer:
13,68.97,86.5,86.26,82.01,8190.0,8189.0,1427/3581
LA-OOD,45.97,88.71,86.99,88.03
