Layer,FPR-at-95%-TPR,AUROC,AUPR-out,AUPR-in,InD-correct,OOD-correct
,,,,,,
1,78.09,57.43,58.85,53.56,9273,403
,,,,,,
2,65.51,70.12,68.46,61.1,9676,1780
,,,,,,
3,46.52,90.14,86.33,82.13,9428,2396
,,,,,,
4,56.54,85.09,79.32,74.98,9896,1982
,,,,,,
5,58.95,83.34,71.38,66.28,9906,1843
,,,,,,
6,63.35,76.03,66.8,58.2,9918,895
,,,,,,
7,53.52,72.12,57.42,50.28,9974,234
,,,,,,
8,73.12,50.1,47.37,44.01,9887,140
,,,,,,
9,79.3,55.55,49.76,51.79,9743,270
,,,,,,
10,82.34,52.34,51.24,55.65,9572,252
,,,,,,
11,70.19,60.89,67.85,74.26,8793,504
,,,,,,
12,63.57,72.11,83.95,76.79,8293,988
,,,,,,
13,86.5,89.17,86.26,82.01,8190,2156
,,,,,,
Best layer:,,,,,,
,,,,,,
3,46.52,90.14,86.33,82.13,9428,5368
,,,,,,
LA-OOD,45.52,90.14,86.33,82.13,,
